plan_name,월 기본료,24개월 약정가격,data_raw,data_gb,voice_raw,sms_raw,scraped_at,price1_won,price2_won,price3_won,price3_raw,price1_label,price2_label,price3_label
로그 USIM LTE 21,"23,100원",,1.5GB,1.5,200분,200건,2025-09-02T13:24:32.289255,23100,,,,,,
로그 USIM LTE 26,"28,600원",,2.5GB,2.5,250분,250건,2025-09-02T13:24:32.289255,28600,,,,,,
로그 USIM LTE 31,"34,100원",,6GB,6.0,350분,350건,2025-09-02T13:24:32.289255,34100,,,,,,
로그 망내 USIM LTE 21,"23,100원",,1.4GB,1.4,망외 140분,기본,2025-09-02T13:24:32.289255,23100,,,,,,
로그 망내 USIM LTE 26,"28,600원",,2.1GB,2.1,망외 195분,기본,2025-09-02T13:24:32.289255,28600,,,,,,
유심 최강가성비 (500MB/50분),"7,400원",,500MB,0.488,50분,30건,2025-09-02T13:24:32.289255,7400,,,,,,
유심 최강가성비 (1GB/100분),"13,200원",,1GB,1.0,100분,50건,2025-09-02T13:24:32.289255,13200,,,,,,
유심 최강가성비 (1.5GB/120분),"12,100원",,1.5GB,1.5,120분,100건,2025-09-02T13:24:32.289255,12100,,,,,,
유심 최강가성비 (2GB/200분),"20,100원",,2GB,2.0,200분,100건,2025-09-02T13:24:32.289255,20100,,,,,,
유심 최강가성비 (3GB/200분),"23,100원",,3GB,3.0,200분,50건,2025-09-02T13:24:32.289255,23100,,,,,,
유심 최강가성비 (3.5GB/200분),"18,400원",,3.5GB,3.5,200분,100건,2025-09-02T13:24:32.289255,18400,,,,,,
유심 최강가성비 (6GB/200분),"23,400원",,6GB,6.0,200분,100건,2025-09-02T13:24:32.289255,23400,,,,,,
유심 최강가성비 (6GB/250분),"28,600원",,6GB,6.0,250분,50건,2025-09-02T13:24:32.289255,28600,,,,,,
유심 최강가성비 (6GB/250분),"23,400원",,6GB,6.0,250분,100건,2025-09-02T13:24:32.289255,23400,,,,,,
유심 최강가성비 (10GB/100분),"33,000원",,10GB,10.0,100분,100건,2025-09-02T13:24:32.289255,33000,,,,,,
유심 최강가성비 (10GB/180분),"43,800원",,10GB,10.0,180분,180건,2025-09-02T13:24:32.289255,43800,,,,,,
