prodCd,refCode,searchCallPlanType,searchOrderby,url,badges,title,subtitle,data_raw,data_gb,daily_bonus_gb,plus_suffix,qos_text,qos_speed_mbps,voice_raw,voice_type,sms_raw,sms_count,price_base,price_promo,rate_data_won_per_mb,rate_voice_won_per_sec,rate_video_won_per_sec,rate_sms_won_per_msg,rate_lms_won_per_msg,rate_mms_text_won_per_msg,rate_mms_media_won_per_msg,tethering_cap_gb,extra_voice_benefit,benefits,events
PD00000006,PHONE,PROD_LTE_TYPE_ALL,4,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000006,3G|통화편의|통화편의|개인정보보호,소리사랑11,시각 장애인 고객에 한해 가입 가능한 복지형 요금제,0MB,,,False,,,150분,RM,50건,50,12100,,44.0,1.98,3.3,16.0,33.0,110.0,110.0,,,,
PD00000081,PHONE,PROD_LTE_TYPE_ALL,4,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000081,3G|청소년보호|청소년보호|개인정보보호|통화편의,NEW 키즈표준,우리 아이를 위한 전용 요금제 (만 13세 미만 가입 가능),,,,False,,,,,,,11000,,56.3,2.75,2.7,16.0,28.0,28.0,110.0,,,,
PD00000082,PHONE,PROD_LTE_TYPE_ALL,4,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000082,3G|추천|청소년보호|청소년보호|개인정보보호|통화편의,청소년 (구 공부의신),수험생 등 데이터를 차단하고 미니멀 라이프를 추구하는 고객을 위한 특화 요금제(만 19세 미만 가입 가능),,,,False,,,,,,,20900,,56.3,2.75,2.7,16.0,28.0,28.0,110.0,,,,
PD00000083,PHONE,PROD_LTE_TYPE_ALL,4,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000083,3G|추천|청소년보호|통화편의|개인정보보호,NEW 청소년34,우리 아이를 위한 전용 요금제  (만 19세 미만 가입),,,,False,,,,,,,25300,,56.3,2.75,2.7,16.0,28.0,28.0,110.0,,,,
PD00000084,PHONE,PROD_LTE_TYPE_ALL,4,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000084,LTE|청소년보호|청소년보호|청소년보호|통화편의,LTE 청소년 데이터,우리 아이를 위한 전용 요금제  (만 19세 미만 가입),,,,False,,,,,,,26400,,56.3,2.75,2.7,16.0,28.0,28.0,110.0,,,,
PD00000085,PHONE,PROD_LTE_TYPE_ALL,4,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000085,LTE|추천|청소년보호|청소년보호|청소년보호|통화편의,NEW 청소년LTE34,우리 아이를 위한 전용 요금제  (만 19세 미만 가입),,,,False,,,,,,,29700,,56.3,2.75,2.7,16.0,28.0,28.0,110.0,,,,
PD00000114,PHONE,PROD_LTE_TYPE_ALL,4,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000114,3G|통화편의|통화편의|개인정보보호,표준,저렴한 기본료에 쓰는 만큼만!,0MB,,,False,,,0분,RM,0건,0,9790,,45.1,1.98,3.3,22.0,33.0,110.0,110.0,,,,
PD00000129,PHONE,PROD_LTE_TYPE_ALL,4,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000129,3G|통화편의|통화편의|개인정보보호,데이터중심300MB_3G,음성통화는 기본 제공! 데이터는 원하는 만큼,300MB,,,False,,,기본제공,RS,기본제공,,31790,,22.5,1.98,3.3,22.0,,110.0,0.0,,,,
PD00000130,PHONE,PROD_LTE_TYPE_ALL,4,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000130,3G|통화편의|통화편의|개인정보보호,데이터중심1.2GB_3G,음성통화는 기본 제공! 데이터는 원하는 만큼,1.2GB,1.2,,False,,,기본제공,RS,기본제공,,36300,,22.5,1.98,3.3,22.0,33.0,110.0,0.0,,,,
PD00000131,PHONE,PROD_LTE_TYPE_ALL,4,https://www.sk7mobile.com/prod/data/callingPlanView.do?refCode=PHONE&searchCallPlanType=PROD_LTE_TYPE_ALL&prodCd=PD00000131,3G|추천|통화편의|통화편의|개인정보보호,데이터중심2.2GB_3G,음성통화는 기본 제공! 데이터는 원하는 만큼,2.2GB,2.2,,False,,,기본제공,RS,기본제공,,42900,,22.5,1.98,3.3,22.0,33.0,110.0,0.0,,,,
