site,kind,ctgr,seq,ctgrId,hpPpnSeq,hpPpnCd,upPpnCd,devKdCd,sbscTypCd2,sbscTypCd3,feeName,feeType,title,feature_vol,feature_limit,feature_supply,price_origin,price_discount,chips,speed_toplist,speed_data_guide,detail_url,list_url
uplusumobile,usim,LTE,470,003,470,LPZ1001674,U009,003,U,E,LTE 스페셜 플러스,USIM/ESIM,LTE 스페셜 플러스,100GB,기본제공,기본제공,46600,38200,이마트24,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=470&upPpnCd=U009&devKdCd=003,
uplusumobile,usim,LTE,27,003,27,LPZ0000202,U009,003,U,E,LTE 스페셜,USIM/ESIM,LTE 스페셜,11GB+일2GB,기본제공,기본제공,49390,32990,이마트24,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=27&upPpnCd=U009&devKdCd=003,
uplusumobile,usim,LTE,452,003,452,LPZ1000542,U008,003,U,E,LTE (15GB+/통화기본),USIM/ESIM,LTE (15GB+/통화기본),15GB,기본제공,기본제공,48400,20900,이마트24,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=452&upPpnCd=U008&devKdCd=003,
uplusumobile,usim,LTE,410,003,410,LPZ0019646,U007,003,U,E,LTE (10GB+/통화기본),USIM/ESIM,LTE (10GB+/통화기본),10GB,기본제공,기본제공,41950,18900,이마트24,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=410&upPpnCd=U007&devKdCd=003,
uplusumobile,usim,LTE,298,003,298,LPZ0017816,U005,003,U,E,LTE (7GB+/통화기본),USIM/ESIM,LTE (7GB+/통화기본),7GB,기본제공,기본제공,39800,15900,이마트24,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=298&upPpnCd=U005&devKdCd=003,
uplusumobile,usim,LTE,358,003,358,LPZ0018912,U001,003,U,E,LTE (1GB+/통화기본),USIM/ESIM,LTE (1GB+/통화기본),1GB,기본제공,기본제공,25300,9900,이마트24,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=358&upPpnCd=U001&devKdCd=003,
uplusumobile,usim,LTE,178,003,178,LPZ0015766,U009,003,U,E,LTE 스페셜 프로,USIM/ESIM,LTE 스페셜 프로,일5GB,기본제공,기본제공,45900,38200,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=178&upPpnCd=U009&devKdCd=003,
uplusumobile,usim,LTE,241,003,241,LPZ0017185,U003,003,U,E,LTE (4.5GB+/통화기본),USIM/ESIM,LTE (4.5GB+/통화기본),4.5GB,기본제공,기본제공,36600,13900,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=241&upPpnCd=U003&devKdCd=003,
uplusumobile,usim,LTE,273,003,273,LPZ0017618,U008,003,U,E,LTE (15GB+/300분),USIM/ESIM,LTE (15GB+/300분),15GB,300분,300건,55000,27450,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=273&upPpnCd=U008&devKdCd=003,
uplusumobile,usim,LTE,237,003,237,LPZ0017151,U008,003,U,E,LTE (15GB+/180분),USIM/ESIM,LTE (15GB+/180분),15GB,180분,100건,48900,26900,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=237&upPpnCd=U008&devKdCd=003,
uplusumobile,usim,LTE,203,003,203,LPZ0016554,U008,003,U,E,LTE (15GB+/100분),USIM/ESIM,LTE (15GB+/100분),15GB,100분,100건,47300,25250,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=203&upPpnCd=U008&devKdCd=003,
uplusumobile,usim,LTE,240,003,240,LPZ0017188,U003,003,U,E,LTE (5GB+/200분),USIM/ESIM,LTE (5GB+/200분),5GB,200분,100건,28200,12500,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=240&upPpnCd=U003&devKdCd=003,
uplusumobile,usim,LTE,422,003,422,LPZ0012031,U003,003,U,E,LTE (5GB+/100분),USIM/ESIM,LTE (5GB+/100분),5GB,100분,100건,23500,11500,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=422&upPpnCd=U003&devKdCd=003,
uplusumobile,usim,LTE,443,003,443,LPZ0012449,U023,003,U,E,LTE (3GB+/100분),USIM/ESIM,LTE (3GB+/100분),3GB,100분,100건,26000,9500,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=443&upPpnCd=U023&devKdCd=003,
uplusumobile,usim,LTE,355,003,355,LPZ0018797,U002,003,U,E,LTE (2.5GB+/200분),USIM/ESIM,LTE (2.5GB+/200분),2.5GB,200분,100건,22500,9500,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=355&upPpnCd=U002&devKdCd=003,
uplusumobile,usim,LTE,359,003,359,LPZ0018914,U001,003,U,E,LTE (1GB+/100분),USIM/ESIM,LTE (1GB+/100분),1GB,100분,100건,17800,7900,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=359&upPpnCd=U001&devKdCd=003,
uplusumobile,usim,LTE,200,003,200,LPZ0016538,U004,003,U,E,LTE (6GB/통화기본),USIM/ESIM,LTE (6GB/통화기본),6GB,기본제공,기본제공,35000,9500,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=200&upPpnCd=U004&devKdCd=003,
uplusumobile,usim,LTE,299,003,299,LPZ0017840,U003,003,U,E,LTE (4GB/통화기본),USIM/ESIM,LTE (4GB/통화기본),4GB,기본제공,기본제공,33500,7500,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=299&upPpnCd=U003&devKdCd=003,
