site,kind,ctgr,seq,upPpnCd,devKdCd,ppnCd,detail_url
uplusumobile,usim,LTE,470,U009,003,LPZ1001674,https://www.uplusumobile.com/product/pric/pricDetail?seq=470&upPpnCd=U009&devKdCd=003
uplusumobile,usim,LTE,27,U009,003,LPZ0000202,https://www.uplusumobile.com/product/pric/pricDetail?seq=27&upPpnCd=U009&devKdCd=003
uplusumobile,usim,LTE,452,U008,003,LPZ1000542,https://www.uplusumobile.com/product/pric/pricDetail?seq=452&upPpnCd=U008&devKdCd=003
uplusumobile,usim,LTE,410,U007,003,LPZ0019646,https://www.uplusumobile.com/product/pric/pricDetail?seq=410&upPpnCd=U007&devKdCd=003
uplusumobile,usim,LTE,298,U005,003,LPZ0017816,https://www.uplusumobile.com/product/pric/pricDetail?seq=298&upPpnCd=U005&devKdCd=003
uplusumobile,usim,LTE,358,U001,003,LPZ0018912,https://www.uplusumobile.com/product/pric/pricDetail?seq=358&upPpnCd=U001&devKdCd=003
uplusumobile,usim,LTE,178,U009,003,LPZ0015766,https://www.uplusumobile.com/product/pric/pricDetail?seq=178&upPpnCd=U009&devKdCd=003
uplusumobile,usim,LTE,241,U003,003,LPZ0017185,https://www.uplusumobile.com/product/pric/pricDetail?seq=241&upPpnCd=U003&devKdCd=003
uplusumobile,usim,LTE,273,U008,003,LPZ0017618,https://www.uplusumobile.com/product/pric/pricDetail?seq=273&upPpnCd=U008&devKdCd=003
uplusumobile,usim,LTE,237,U008,003,LPZ0017151,https://www.uplusumobile.com/product/pric/pricDetail?seq=237&upPpnCd=U008&devKdCd=003
uplusumobile,usim,LTE,203,U008,003,LPZ0016554,https://www.uplusumobile.com/product/pric/pricDetail?seq=203&upPpnCd=U008&devKdCd=003
uplusumobile,usim,LTE,240,U003,003,LPZ0017188,https://www.uplusumobile.com/product/pric/pricDetail?seq=240&upPpnCd=U003&devKdCd=003
uplusumobile,usim,LTE,422,U003,003,LPZ0012031,https://www.uplusumobile.com/product/pric/pricDetail?seq=422&upPpnCd=U003&devKdCd=003
uplusumobile,usim,LTE,443,U023,003,LPZ0012449,https://www.uplusumobile.com/product/pric/pricDetail?seq=443&upPpnCd=U023&devKdCd=003
uplusumobile,usim,LTE,355,U002,003,LPZ0018797,https://www.uplusumobile.com/product/pric/pricDetail?seq=355&upPpnCd=U002&devKdCd=003
uplusumobile,usim,LTE,359,U001,003,LPZ0018914,https://www.uplusumobile.com/product/pric/pricDetail?seq=359&upPpnCd=U001&devKdCd=003
uplusumobile,usim,LTE,200,U004,003,LPZ0016538,https://www.uplusumobile.com/product/pric/pricDetail?seq=200&upPpnCd=U004&devKdCd=003
